"","thres","n","snr","test","power"
"217",0.5,370,14.59,"URXOP2",1
"218",0.5,370,14.59,"URXOP4",0.04
"219",0.5,370,14.59,"URXOP6",0.65
"220",0.5,370,14.59,"URXOP1",1
"221",0.5,370,14.59,"URXOP3",0.99
"222",0.5,370,14.59,"URXOP5",0.1
"223",0.5,380,14.72,"URXOP2",1
"224",0.5,380,14.72,"URXOP4",0.05
"225",0.5,380,14.72,"URXOP6",0.67
"226",0.5,380,14.72,"URXOP1",1
"227",0.5,380,14.72,"URXOP3",1
"228",0.5,380,14.72,"URXOP5",0.06
"229",0.5,390,14.53,"URXOP2",1
"230",0.5,390,14.53,"URXOP4",0.05
"231",0.5,390,14.53,"URXOP6",0.71
"232",0.5,390,14.53,"URXOP1",1
"233",0.5,390,14.53,"URXOP3",1
"234",0.5,390,14.53,"URXOP5",0.06
"235",0.5,400,14.78,"URXOP2",1
"236",0.5,400,14.78,"URXOP4",0.07
"237",0.5,400,14.78,"URXOP6",0.67
"238",0.5,400,14.78,"URXOP1",1
"239",0.5,400,14.78,"URXOP3",1
"240",0.5,400,14.78,"URXOP5",0.04
"241",0.5,410,14.2,"URXOP2",1
"242",0.5,410,14.2,"URXOP4",0.01
"243",0.5,410,14.2,"URXOP6",0.57
"244",0.5,410,14.2,"URXOP1",1
"245",0.5,410,14.2,"URXOP3",1
"246",0.5,410,14.2,"URXOP5",0.06
"247",0.5,420,14.73,"URXOP2",1
"248",0.5,420,14.73,"URXOP4",0.02
"249",0.5,420,14.73,"URXOP6",0.61
"250",0.5,420,14.73,"URXOP1",1
"251",0.5,420,14.73,"URXOP3",0.99
"252",0.5,420,14.73,"URXOP5",0.12
"253",0.5,430,14.57,"URXOP2",1
"254",0.5,430,14.57,"URXOP4",0.02
"255",0.5,430,14.57,"URXOP6",0.69
"256",0.5,430,14.57,"URXOP1",1
"257",0.5,430,14.57,"URXOP3",1
"258",0.5,430,14.57,"URXOP5",0.07
"259",0.5,440,14.68,"URXOP2",1
"260",0.5,440,14.68,"URXOP4",0.04
"261",0.5,440,14.68,"URXOP6",0.62
"262",0.5,440,14.68,"URXOP1",1
"263",0.5,440,14.68,"URXOP3",1
"264",0.5,440,14.68,"URXOP5",0.07
"265",0.5,450,14.86,"URXOP2",1
"266",0.5,450,14.86,"URXOP4",0.01
"267",0.5,450,14.86,"URXOP6",0.62
"268",0.5,450,14.86,"URXOP1",1
"269",0.5,450,14.86,"URXOP3",1
"270",0.5,450,14.86,"URXOP5",0.06
"271",0.5,460,14.49,"URXOP2",1
"272",0.5,460,14.49,"URXOP4",0.03
"273",0.5,460,14.49,"URXOP6",0.57
"274",0.5,460,14.49,"URXOP1",1
"275",0.5,460,14.49,"URXOP3",1
"276",0.5,460,14.49,"URXOP5",0.04
"277",0.5,470,14.91,"URXOP2",1
"278",0.5,470,14.91,"URXOP4",0.04
"279",0.5,470,14.91,"URXOP6",0.63
"280",0.5,470,14.91,"URXOP1",1
"281",0.5,470,14.91,"URXOP3",1
"282",0.5,470,14.91,"URXOP5",0.06
"283",0.5,480,14.69,"URXOP2",1
"284",0.5,480,14.69,"URXOP4",0
"285",0.5,480,14.69,"URXOP6",0.59
"286",0.5,480,14.69,"URXOP1",1
"287",0.5,480,14.69,"URXOP3",1
"288",0.5,480,14.69,"URXOP5",0.05
"289",0.5,490,14.39,"URXOP2",1
"290",0.5,490,14.39,"URXOP4",0.06
"291",0.5,490,14.39,"URXOP6",0.61
"292",0.5,490,14.39,"URXOP1",1
"293",0.5,490,14.39,"URXOP3",0.99
"294",0.5,490,14.39,"URXOP5",0.1
"295",0.5,500,14.77,"URXOP2",1
"296",0.5,500,14.77,"URXOP4",0.02
"297",0.5,500,14.77,"URXOP6",0.58
"298",0.5,500,14.77,"URXOP1",1
"299",0.5,500,14.77,"URXOP3",1
"300",0.5,500,14.77,"URXOP5",0.08
