"","thres","n","snr","test","power"
"203",0.05,350,14.55,"URXOP3",0.73
"204",0.05,350,14.55,"URXOP5",0.59
"205",0.05,360,14.59,"URXOP2",0.97
"206",0.05,360,14.59,"URXOP4",0.77
"207",0.05,360,14.59,"URXOP6",0.24
"208",0.05,360,14.59,"URXOP1",1
"209",0.05,360,14.59,"URXOP3",0.77
"210",0.05,360,14.59,"URXOP5",0.66
"211",0.05,370,14.73,"URXOP2",0.99
"212",0.05,370,14.73,"URXOP4",0.8
"213",0.05,370,14.73,"URXOP6",0.16
"214",0.05,370,14.73,"URXOP1",1
"215",0.05,370,14.73,"URXOP3",0.7
"216",0.05,370,14.73,"URXOP5",0.66
"217",0.05,380,14.93,"URXOP2",0.99
"218",0.05,380,14.93,"URXOP4",0.82
"219",0.05,380,14.93,"URXOP6",0.19
"220",0.05,380,14.93,"URXOP1",1
"221",0.05,380,14.93,"URXOP3",0.65
"222",0.05,380,14.93,"URXOP5",0.65
"223",0.05,390,14.6,"URXOP2",1
"224",0.05,390,14.6,"URXOP4",0.76
"225",0.05,390,14.6,"URXOP6",0.21
"226",0.05,390,14.6,"URXOP1",1
"227",0.05,390,14.6,"URXOP3",0.62
"228",0.05,390,14.6,"URXOP5",0.75
"229",0.05,400,14.19,"URXOP2",1
"230",0.05,400,14.19,"URXOP4",0.77
"231",0.05,400,14.19,"URXOP6",0.23
"232",0.05,400,14.19,"URXOP1",1
"233",0.05,400,14.19,"URXOP3",0.7
"234",0.05,400,14.19,"URXOP5",0.77
"235",0.05,410,14.49,"URXOP2",1
"236",0.05,410,14.49,"URXOP4",0.82
"237",0.05,410,14.49,"URXOP6",0.19
"238",0.05,410,14.49,"URXOP1",1
"239",0.05,410,14.49,"URXOP3",0.74
"240",0.05,410,14.49,"URXOP5",0.63
"241",0.05,420,14.33,"URXOP2",1
"242",0.05,420,14.33,"URXOP4",0.81
"243",0.05,420,14.33,"URXOP6",0.21
"244",0.05,420,14.33,"URXOP1",1
"245",0.05,420,14.33,"URXOP3",0.74
"246",0.05,420,14.33,"URXOP5",0.65
"247",0.05,430,15.06,"URXOP2",1
"248",0.05,430,15.06,"URXOP4",0.76
"249",0.05,430,15.06,"URXOP6",0.22
"250",0.05,430,15.06,"URXOP1",1
"251",0.05,430,15.06,"URXOP3",0.7
"252",0.05,430,15.06,"URXOP5",0.69
"253",0.05,440,14.93,"URXOP2",1
"254",0.05,440,14.93,"URXOP4",0.84
"255",0.05,440,14.93,"URXOP6",0.22
"256",0.05,440,14.93,"URXOP1",1
"257",0.05,440,14.93,"URXOP3",0.7
"258",0.05,440,14.93,"URXOP5",0.72
