"","thres","n","snr","test","power"
"1159",0.05,1950,14.75,"URXOP2",1
"1160",0.05,1950,14.75,"URXOP4",0.92
"1161",0.05,1950,14.75,"URXOP6",0.71
"1162",0.05,1950,14.75,"URXOP1",1
"1163",0.05,1950,14.75,"URXOP3",0.99
"1164",0.05,1950,14.75,"URXOP5",0.95
"1165",0.05,1960,14.88,"URXOP2",1
"1166",0.05,1960,14.88,"URXOP4",0.89
"1167",0.05,1960,14.88,"URXOP6",0.6
"1168",0.05,1960,14.88,"URXOP1",1
"1169",0.05,1960,14.88,"URXOP3",0.96
"1170",0.05,1960,14.88,"URXOP5",0.89
"1171",0.05,1970,14.61,"URXOP2",1
"1172",0.05,1970,14.61,"URXOP4",0.97
"1173",0.05,1970,14.61,"URXOP6",0.73
"1174",0.05,1970,14.61,"URXOP1",1
"1175",0.05,1970,14.61,"URXOP3",0.99
"1176",0.05,1970,14.61,"URXOP5",0.86
"1177",0.05,1980,14.54,"URXOP2",1
"1178",0.05,1980,14.54,"URXOP4",0.96
"1179",0.05,1980,14.54,"URXOP6",0.58
"1180",0.05,1980,14.54,"URXOP1",1
"1181",0.05,1980,14.54,"URXOP3",0.98
"1182",0.05,1980,14.54,"URXOP5",0.86
"1183",0.05,1990,15.2,"URXOP2",1
"1184",0.05,1990,15.2,"URXOP4",0.91
"1185",0.05,1990,15.2,"URXOP6",0.61
"1186",0.05,1990,15.2,"URXOP1",1
"1187",0.05,1990,15.2,"URXOP3",0.97
"1188",0.05,1990,15.2,"URXOP5",0.94
"1189",0.05,2000,14.65,"URXOP2",1
"1190",0.05,2000,14.65,"URXOP4",0.95
"1191",0.05,2000,14.65,"URXOP6",0.62
"1192",0.05,2000,14.65,"URXOP1",1
"1193",0.05,2000,14.65,"URXOP3",0.98
"1194",0.05,2000,14.65,"URXOP5",0.87
